island,site,date,observer,row,col,trt,spp,ht,numleaves,leafnum,wilt,damclass,primdam,secdam,notes,entby,proofby,dateent
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,7,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,SP,3,d,open,Papaya,28.2,8,1,no,75-99,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,2,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,3,,10-May,h,r,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,4,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,5,,25-Oct,r,na,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,6,,25-Oct,r,na,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,6,a,excl,Papaya,44.3,8,8,,10-May,h,na,,SF,,
guam,anaoarray,2-Jul-10,BE,3,f,open,Morinda,19,12,1,no,25-50,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,8,a,excl,Papaya,26.9,4,2,,25-Oct,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,8,a,excl,Papaya,26.9,4,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,a,excl,Papaya,26.9,4,4,,25-Oct,r,h,,SF,,
guam,ANAOarray,10-Jun-10,EH,4,A,open,Papaya,25.2,5,1,no,10-May,H,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,10,a,excl,Morinda,10.3,4,2,,10-May,r,na,,SF,,
tinian,pina,13-Sep-10,SF,10,a,excl,Morinda,10.3,4,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,10,a,excl,Morinda,10.3,4,4,,5-Feb,h,na,,SF,,
guam,anaoarray,2-Jul-10,SP,4,a,open,Papaya,27.3,7,1,no,25-Oct,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,13,a,excl,Neisosperma,27.2,6,2,,<2,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,excl,Neisosperma,27.2,6,3,,0,na,na,,SF,,
